name=SetSketch2;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
93; 9.30170433234508778e+01; 1.07812196943687177e+00; 1.03818663763441044e+00; 2.98360524285685269e+00; 9.30170433191651540e+01; 1.07812179428304566e+00; 1.03818655334909926e+00; 2.98360523196760763e+00; 
94; 9.40183370775194902e+01; 1.10260464723397500e+00; 1.04988970793223313e+00; 2.95838908094465536e+00; 9.40183370724692651e+01; 1.10260446831413916e+00; 1.04988962281155573e+00; 2.95838907763240400e+00; 
95; 9.50202131392845075e+01; 1.12630116191162721e+00; 1.06108085974250166e+00; 2.94328565548173104e+00; 9.50202131335470312e+01; 1.12630097978518595e+00; 1.06108077403061007e+00; 2.94328564614911947e+00; 
96; 9.60232420027912354e+01; 1.15244966873180488e+00; 1.07327045894222461e+00; 2.96528063742606118e+00; 9.60232419969588733e+01; 1.15244948270745096e+00; 1.07327037240614143e+00; 2.96528063161222555e+00; 
97; 9.70236828587122915e+01; 1.17798971379564810e+00; 1.08509392957423190e+00; 2.96850922816135920e+00; 9.70236828529123869e+01; 1.17798952269277168e+00; 1.08509384164260081e+00; 2.96850922412720886e+00; 
98; 9.80209541394548580e+01; 1.20324534154596230e+00; 1.09672524616955824e+00; 2.95291517452302932e+00; 9.80209541341639721e+01; 1.20324514457282361e+00; 1.09672515647005286e+00; 2.95291517396950765e+00; 
99; 9.90196003899613260e+01; 1.22649303485604921e+00; 1.10729799944252583e+00; 2.93085163687573091e+00; 9.90196003849443827e+01; 1.22649283400926157e+00; 1.10729790883903334e+00; 2.93085163085862188e+00; 
100; 1.00021197492865625e+02; 1.25574013167593157e+00; 1.12039760708961200e+00; 2.92245006854557632e+00; 1.00021197487918442e+02; 1.25573992625207631e+00; 1.12039751550867517e+00; 2.92245006035445387e+00; 
101; 1.01020132954544621e+02; 1.28180831444706556e+00; 1.13199071488611436e+00; 2.93844307553498751e+00; 1.01020132951041248e+02; 1.28180810508394138e+00; 1.13199062247277560e+00; 2.93844306303579161e+00; 
102; 1.02022807569434718e+02; 1.30511579752617157e+00; 1.14218895647902707e+00; 2.93525778953047922e+00; 1.02022807566082108e+02; 1.30511558507850700e+00; 1.14218886354573823e+00; 2.93525777860345816e+00; 
103; 1.03024999883013720e+02; 1.33555694121431334e+00; 1.15539255106807381e+00; 2.93918841768371353e+00; 1.03024999879064836e+02; 1.33555672284809290e+00; 1.15539245665481483e+00; 2.93918840435497097e+00; 
104; 1.04025352629588156e+02; 1.35892459396607679e+00; 1.16545349033714052e+00; 2.92700900161464839e+00; 1.04025352626083702e+02; 1.35892437231370189e+00; 1.16545339532061454e+00; 2.92700898266490173e+00; 
105; 1.05027267856531537e+02; 1.38298801399112814e+00; 1.17568893759841919e+00; 2.93719593485093178e+00; 1.05027267852800222e+02; 1.38298778951553403e+00; 1.17568884221940495e+00; 2.93719593087676856e+00; 
106; 1.06024771434250013e+02; 1.40888122979618724e+00; 1.18670451496629648e+00; 2.95915404142265759e+00; 1.06024771430599131e+02; 1.40888099930565702e+00; 1.18670441792879333e+00; 2.95915403592270732e+00; 
107; 1.07027461758890254e+02; 1.43172697645829583e+00; 1.19623276508250576e+00; 2.99031374924190674e+00; 1.07027461755444548e+02; 1.43172674259029575e+00; 1.19623266740972722e+00; 2.99031374098071590e+00; 
