name=GeneralizedHyperLogLog;numRegisters=4096;q=62;base=2.00000000000000000e+00;a=2.44140625000000000e-04;registerStateType=registers with lower bound;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
42; 4.20049750411249150e+01; 2.10602453683870872e-01; 4.58887461857127255e-01; 7.18222325242423576e+00; 4.20045821303744304e+01; 2.10130573701046347e-01; 4.58377113065518260e-01; 7.17950287179599655e+00; 
43; 4.30045786857686068e+01; 2.20992829520128359e-01; 4.70076446077402066e-01; 7.15779561958712129e+00; 4.30042328853439173e+01; 2.20476921905346041e-01; 4.69530621564781259e-01; 7.16139981021946337e+00; 
44; 4.40059238041347598e+01; 2.28923019963573421e-01; 4.78422332785730320e-01; 6.82621890361513106e+00; 4.40056015770919942e+01; 2.28338658232164482e-01; 4.77815111278671045e-01; 6.82964133654046179e+00; 
45; 4.50063856756606029e+01; 2.39104399485785657e-01; 4.88941328414916609e-01; 6.58123898407965768e+00; 4.50060882376321914e+01; 2.38523167961865706e-01; 4.88350387861421265e-01; 6.58410810144126746e+00; 
46; 4.60059661728134159e+01; 2.51058356845675457e-01; 5.01021717720535498e-01; 6.38713977720906012e+00; 4.60057062956547327e+01; 2.50416794283343791e-01; 5.00384084951996044e-01; 6.38992115345282485e+00; 
47; 4.70060835660107514e+01; 2.61597862345636589e-01; 5.11430203028949371e-01; 6.09511867065395752e+00; 4.70059100444766429e+01; 2.60887880177380460e-01; 5.10737654331130497e-01; 6.10272465451387447e+00; 
48; 4.80064370744257687e+01; 2.72718572878600629e-01; 5.22184964310002608e-01; 5.87850864773241089e+00; 4.80063104075503446e+01; 2.71987242469517387e-01; 5.21485782381518437e-01; 5.88279251202752462e+00; 
49; 4.90075366590585304e+01; 2.83389977472332910e-01; 5.32290499861277855e-01; 5.72366570509032790e+00; 4.90074922400845949e+01; 2.82657838666891148e-01; 5.31602958048019936e-01; 5.72452278742071030e+00; 
50; 5.00077665964299953e+01; 2.94496926959057548e-01; 5.42620131343242162e-01; 5.54447097133785327e+00; 5.00078393087452397e+01; 2.93771523428340786e-01; 5.41950245563864619e-01; 5.54647628023765460e+00; 
51; 5.10082421837100668e+01; 3.05135132979464541e-01; 5.52328886975111510e-01; 5.37062934560536309e+00; 5.10084121700569426e+01; 3.04404291935726379e-01; 5.51664324866726674e-01; 5.36960247313976957e+00; 
52; 5.20074472473003127e+01; 3.19931302634983261e-01; 5.65575672339811764e-01; 5.31021862843552395e+00; 5.20076424235451142e+01; 3.19135237577065911e-01; 5.64868861718740733e-01; 5.30892766019700701e+00; 
53; 5.30065993942614782e+01; 3.34490185178836275e-01; 5.78313611437784370e-01; 5.19743038084202880e+00; 5.30068430304148563e+01; 3.33721516089030890e-01; 5.77645816243631760e-01; 5.19945259063757703e+00; 
54; 5.40071195017640591e+01; 3.46724105324758947e-01; 5.88789791028502152e-01; 5.07202436529088985e+00; 5.40074835287713881e+01; 3.45958222762446588e-01; 5.88134525053218171e-01; 5.07390216447742404e+00; 
55; 5.50075902918035524e+01; 3.58742961121143344e-01; 5.98903455150728847e-01; 4.92011710542881087e+00; 5.50080253031209452e+01; 3.58016025083310374e-01; 5.98290581233841046e-01; 4.92202809252801199e+00; 
56; 5.60080131743279068e+01; 3.71138341664835003e-01; 6.09158543157710675e-01; 4.84989512544055668e+00; 5.60084758216561198e+01; 3.70490243800265073e-01; 6.08620082027792386e-01; 4.84986945048818630e+00; 
57; 5.70071731397433581e+01; 3.87639658789200037e-01; 6.22565823712980082e-01; 4.82138778836519144e+00; 5.70076543146462029e+01; 3.86986032824763959e-01; 6.22034922084011344e-01; 4.82735441315565428e+00; 
58; 5.80071985575620062e+01; 4.00942541149593323e-01; 6.33159317959249512e-01; 4.82223269171039437e+00; 5.80076771876962241e+01; 4.00155357904191600e-01; 6.32531753110675998e-01; 4.82149147910618225e+00; 
59; 5.90082937809634345e+01; 4.14970822444883536e-01; 6.44128896760745251e-01; 4.84631662138349384e+00; 5.90087578485180728e+01; 4.13979420305772505e-01; 6.43352718495156184e-01; 4.84172221927800006e+00; 
60; 6.00078209932418218e+01; 4.29727288651053807e-01; 6.55489222425331142e-01; 4.76704784064849640e+00; 6.00082542332935276e+01; 4.28652607905565919e-01; 6.54663635417683798e-01; 4.76523404413821616e+00; 
61; 6.10074034916854373e+01; 4.46331900799543380e-01; 6.68039736176230581e-01; 4.74677261643446435e+00; 6.10078497156130126e+01; 4.45263614899353732e-01; 6.67234589079545137e-01; 4.74353407744030608e+00; 
62; 6.20055167617437633e+01; 4.65283358728920682e-01; 6.82094512563168887e-01; 4.61492236475602002e+00; 6.20059560316099336e+01; 4.64137140871558940e-01; 6.81250076373585367e-01; 4.61420314250301011e+00; 
63; 6.30067270934748223e+01; 4.79657720418369460e-01; 6.92540588436335258e-01; 4.61428556973898996e+00; 6.30070927208866820e+01; 4.78559762789328214e-01; 6.91743779227365296e-01; 4.61492741229529013e+00; 
64; 6.40062631052768722e+01; 4.95514573782667611e-01; 7.03900097524471025e-01; 4.56216767047685590e+00; 6.40065638792886347e+01; 4.94328218872461533e-01; 7.03054147531431473e-01; 4.56764726426498502e+00; 
65; 6.50064596017854939e+01; 5.14795407387081738e-01; 7.17463365567782674e-01; 4.77324348342630866e+00; 6.50067221231340255e+01; 5.13429040644360790e-01; 7.16508097445472392e-01; 4.77479232728747771e+00; 
66; 6.60071101978727199e+01; 5.33204842407439039e-01; 7.30174148743743312e-01; 4.76090095518018241e+00; 6.60072547248677637e+01; 5.31820472165227653e-01; 7.29224136416456004e-01; 4.76366904177970252e+00; 
67; 6.70088251553918610e+01; 5.46678921559164532e-01; 7.39324717692759870e-01; 4.71549879856446008e+00; 6.70089154577241857e+01; 5.45062692088371437e-01; 7.38229779067430480e-01; 4.71756615626982612e+00; 
68; 6.80078412601624791e+01; 5.62686664758152322e-01; 7.50083448289071253e-01; 4.66045256377113493e+00; 6.80078682174003148e+01; 5.61202087267061778e-01; 7.49092903732240911e-01; 4.65884021140399085e+00; 
69; 6.90089337476701701e+01; 5.76307594454065875e-01; 7.59096688575731982e-01; 4.56475054544882397e+00; 6.90088444483810690e+01; 5.74763232527371049e-01; 7.58079816549814822e-01; 4.56397886500176408e+00; 
70; 7.00096623485241025e+01; 5.92429074951047463e-01; 7.69633493275894365e-01; 4.49539117494224083e+00; 7.00094573972688892e+01; 5.90855740687700970e-01; 7.68613230646335688e-01; 4.49651116096825376e+00; 
71; 7.10076862508718278e+01; 6.13772344556823279e-01; 7.83398535934528462e-01; 4.43793384969838645e+00; 7.10074386095965195e+01; 6.12237040970632806e-01; 7.82420416437291544e-01; 4.43778741950054467e+00; 
72; 7.20106326950484004e+01; 6.35204463667240926e-01; 7.96926225859867499e-01; 4.45005382987033116e+00; 7.20102744086077990e+01; 6.33488952135715100e-01; 7.95853873938853207e-01; 4.45046121796506622e+00; 
73; 7.30096466756939435e+01; 6.53128523150771856e-01; 8.08106097488957231e-01; 4.43009870092982272e+00; 7.30091432210659121e+01; 6.51163224555691200e-01; 8.06895052695353110e-01; 4.43027423417910349e+00; 
74; 7.40078835342280286e+01; 6.73125961320353183e-01; 8.20404663083056485e-01; 4.34614818186348995e+00; 7.40073253921138274e+01; 6.70940969560839262e-01; 8.19077107598070508e-01; 4.34522673194689357e+00; 
75; 7.50079892989014354e+01; 6.91512855766497569e-01; 8.31534140531556276e-01; 4.26202018696586737e+00; 7.50074635831075653e+01; 6.89294121880491106e-01; 8.30203840516100633e-01; 4.26055665616581791e+00; 
76; 7.60087385939335434e+01; 7.11279150195592069e-01; 8.43328398176923733e-01; 4.23347789271456953e+00; 7.60081339952539707e+01; 7.08954506525990791e-01; 8.41955072819921990e-01; 4.23642909501263354e+00; 
77; 7.70103363047460618e+01; 7.25931806408835700e-01; 8.51953617993979728e-01; 4.16968800115634064e+00; 7.70096783592782117e+01; 7.23858159795620626e-01; 8.50743491986457823e-01; 4.17445455647243691e+00; 
78; 7.80082989826834989e+01; 7.47461623633514538e-01; 8.64518797088840052e-01; 4.07578271345460941e+00; 7.80076282707962605e+01; 7.45176935788718131e-01; 8.63202609630770556e-01; 4.08114024198603342e+00; 
79; 7.90089431260034019e+01; 7.67535213741498357e-01; 8.76045223854791000e-01; 4.05376324344074490e+00; 7.90082823037306952e+01; 7.64919527241719743e-01; 8.74557562820559076e-01; 4.05908748605935976e+00; 
80; 8.00063556392628783e+01; 7.87885657200200096e-01; 8.87606479837634410e-01; 3.98175678480258943e+00; 8.00057214235852712e+01; 7.85185158465274480e-01; 8.86088270872284145e-01; 3.98837426475172485e+00; 
81; 8.10053256645965689e+01; 8.07040106287565062e-01; 8.98338323564218388e-01; 3.97052762827473771e+00; 8.10046293068849224e+01; 8.04154569590765811e-01; 8.96734709436706412e-01; 3.97957765696868515e+00; 
82; 8.20069793536691805e+01; 8.21721890659013465e-01; 9.06461901726357988e-01; 4.04399361986860573e+00; 8.20063183089610703e+01; 8.18901260583763890e-01; 9.04909575347524253e-01; 4.05566435313128704e+00; 
83; 8.30073367287175472e+01; 8.43437176074412820e-01; 9.18359052052162839e-01; 4.08601517836150041e+00; 8.30066362703892366e+01; 8.40650086797615548e-01; 9.16845704965091546e-01; 4.09465446852858950e+00; 
84; 8.40069085100289925e+01; 8.65508788779202787e-01; 9.30301596939605902e-01; 4.03965898322674200e+00; 8.40062063236676266e+01; 8.62592438242251958e-01; 9.28737810035097255e-01; 4.04766065737582004e+00; 
85; 8.50084500770070832e+01; 8.82428658438018654e-01; 9.39338732639390162e-01; 4.04469985548075162e+00; 8.50077766935890224e+01; 8.79437134955429411e-01; 9.37750850701959626e-01; 4.05154722129156841e+00; 
86; 8.60099213204469351e+01; 8.97341150153849076e-01; 9.47228967860693549e-01; 3.97838576452472337e+00; 8.60093223667770843e+01; 8.94279816261390637e-01; 9.45617739754847753e-01; 3.98366140367536437e+00; 
87; 8.70135666881294156e+01; 9.10038553975424880e-01; 9.53862935095294184e-01; 3.91481491793150260e+00; 8.70129390006056838e+01; 9.06927070234925359e-01; 9.52239283215226440e-01; 3.91909785707254477e+00; 
88; 8.80133661378091006e+01; 9.30376889957785336e-01; 9.64467851365635065e-01; 3.88740801263008739e+00; 8.80128473240501421e+01; 9.26901428820138262e-01; 9.62671478275374359e-01; 3.89095074464553337e+00; 
89; 8.90136051673138411e+01; 9.47071680404750982e-01; 9.73080972903649810e-01; 3.91872203248175355e+00; 8.90131783080051235e+01; 9.43707653666144286e-01; 9.71356775785424786e-01; 3.92218203636659757e+00; 
90; 9.00134684513321730e+01; 9.71240361042353340e-01; 9.85423239963958864e-01; 3.94384996531390986e+00; 9.00131301142310605e+01; 9.68145833473754602e-01; 9.83856409022180411e-01; 3.95192124288499480e+00; 
91; 9.10123393221594910e+01; 9.95281464290799001e-01; 9.97561629885308943e-01; 3.94453678960685927e+00; 9.10119586571407098e+01; 9.92450077223006932e-01; 9.96146107627984501e-01; 3.94799845174214781e+00; 
92; 9.20129826485345177e+01; 1.01592952350349131e+00; 1.00784967844441709e+00; 3.88888554075785642e+00; 9.20126347837323380e+01; 1.01297746171624836e+00; 1.00638850547702763e+00; 3.89415629230966021e+00; 
93; 9.30086466995822434e+01; 1.03920978645349193e+00; 1.01937972367505170e+00; 3.84974834693628054e+00; 9.30082436539229889e+01; 1.03614620041126360e+00; 1.01787928684164752e+00; 3.85810462909663388e+00; 
94; 9.40086425531952443e+01; 1.06483209858265626e+00; 1.03187082760242954e+00; 3.85281214203925471e+00; 9.40082579499092788e+01; 1.06244825776841356e+00; 1.03071822727247286e+00; 3.85608179732241174e+00; 
95; 9.50083664982905844e+01; 1.09003851776144467e+00; 1.04401557434158709e+00; 3.83042450739296036e+00; 9.50079868761223025e+01; 1.08729756671287769e+00; 1.04270502853044400e+00; 3.83345353213731999e+00; 
96; 9.60082304854343391e+01; 1.11152478350043760e+00; 1.05425663033719985e+00; 3.81326710672861147e+00; 9.60079444934683437e+01; 1.10845681614964042e+00; 1.05280278360819590e+00; 3.81858135619366301e+00; 
97; 9.70057752478740127e+01; 1.13673394812046791e+00; 1.06616161750105420e+00; 3.80999866497572359e+00; 9.70055017590112811e+01; 1.13320315996719478e+00; 1.06450593733195320e+00; 3.81519908214959713e+00; 
98; 9.80065332623168501e+01; 1.16737253342187852e+00; 1.08043040030599480e+00; 3.85361852534311344e+00; 9.80063232471309931e+01; 1.16359943616838057e+00; 1.07868413018552634e+00; 3.85949167260833281e+00; 
99; 9.90077416897844529e+01; 1.19934871185397274e+00; 1.09512043999427666e+00; 3.94355168698762926e+00; 9.90076627292414031e+01; 1.19530747278858440e+00; 1.09327432759081811e+00; 3.95010866206699740e+00; 
100; 1.00005197515071586e+02; 1.22869130965489681e+00; 1.10845130497102873e+00; 3.94178578666889390e+00; 1.00005198113469319e+02; 1.22467836363412452e+00; 1.10663966278571269e+00; 3.94859378604293143e+00; 
101; 1.01001259833758169e+02; 1.25519174958511348e+00; 1.12035269554012151e+00; 3.87882685183978682e+00; 1.01001465481420652e+02; 1.25094434817472844e+00; 1.11845527426846014e+00; 3.88404339936505183e+00; 
102; 1.02002586490199150e+02; 1.27133318804207018e+00; 1.12753115172509255e+00; 3.82159725133716188e+00; 1.02002937098357961e+02; 1.26716821969290638e+00; 1.12568183477665595e+00; 3.82580856091585009e+00; 
103; 1.03004157241809935e+02; 1.29456757757079077e+00; 1.13778306144507613e+00; 3.79975193933808786e+00; 1.03004487991724005e+02; 1.29035202250032710e+00; 1.13592776197723588e+00; 3.79886344855113212e+00; 
104; 1.04004441391185651e+02; 1.32068906361741067e+00; 1.14920378421833602e+00; 3.77137713033077082e+00; 1.04004904382885641e+02; 1.31676472648108045e+00; 1.14749321283814165e+00; 3.77136372785296459e+00; 
105; 1.05004870794161334e+02; 1.34370236291573319e+00; 1.15917153099961001e+00; 3.74342170211294656e+00; 1.05005481677165960e+02; 1.33985703736694894e+00; 1.15750895831626188e+00; 3.74275923946177791e+00; 
106; 1.06008008921452188e+02; 1.36411966119111394e+00; 1.16792787378685459e+00; 3.71671425152095170e+00; 1.06008675350848776e+02; 1.36054120841949899e+00; 1.16639013486361232e+00; 3.71887568823139958e+00; 
107; 1.07008112616250827e+02; 1.39167873394742281e+00; 1.17966644412943888e+00; 3.75085920674381068e+00; 1.07008784752495586e+02; 1.38834103478090576e+00; 1.17824609607013531e+00; 3.75560663498812364e+00; 
108; 1.08008565964052337e+02; 1.41871767531029080e+00; 1.19106855368201336e+00; 3.77733525863821873e+00; 1.08009153326038998e+02; 1.41531365982901525e+00; 1.18963434569259263e+00; 3.77987201992525135e+00; 
109; 1.09009581408703426e+02; 1.44123722110683894e+00; 1.20047716251251235e+00; 3.77771006571112977e+00; 1.09010271848782807e+02; 1.43812993060576844e+00; 1.19917655903055231e+00; 3.77897146740317691e+00; 
110; 1.10007971315376508e+02; 1.46794119458782557e+00; 1.21156000789023821e+00; 3.76287902058729617e+00; 1.10008741714234020e+02; 1.46478419725616749e+00; 1.21025112257267198e+00; 3.76328001873186224e+00; 
111; 1.11007431563893036e+02; 1.49218901281945282e+00; 1.22152928113801562e+00; 3.76764989235778058e+00; 1.11008243557014765e+02; 1.48946361242588510e+00; 1.22040798759825742e+00; 3.77122935904219636e+00; 
112; 1.12007862990538428e+02; 1.52165760784740267e+00; 1.23352980556904468e+00; 3.73227418838712266e+00; 1.12008751440331508e+02; 1.51781115475954698e+00; 1.23196370362591323e+00; 3.73580286551943042e+00; 
113; 1.13008236681808398e+02; 1.55116420518105502e+00; 1.24543019164216928e+00; 3.72578806697057940e+00; 1.13009177191589401e+02; 1.54723595951318504e+00; 1.24384554453827723e+00; 3.73232906978665557e+00; 
114; 1.14007835154946235e+02; 1.58117140106947107e+00; 1.25742197030926128e+00; 3.76805162129505344e+00; 1.14008888066004886e+02; 1.57767883393376240e+00; 1.25602541224947251e+00; 3.77734797544207046e+00; 
115; 1.15009530880358184e+02; 1.60382212220265474e+00; 1.26638512488194110e+00; 3.71791090746856367e+00; 1.15010543240375881e+02; 1.60008356940626029e+00; 1.26490015791311894e+00; 3.72903259892493866e+00; 
116; 1.16007060120841047e+02; 1.63557129271680113e+00; 1.27887507107242793e+00; 3.75082021368449725e+00; 1.16008171415477761e+02; 1.63165055290189653e+00; 1.27733463934513902e+00; 3.76293942394898551e+00; 
117; 1.17007097058610853e+02; 1.65749094321536172e+00; 1.28741623998395482e+00; 3.75221472306155857e+00; 1.17008120452916302e+02; 1.65388138378477234e+00; 1.28600755908712117e+00; 3.75981604325557273e+00; 
118; 1.18008932362904048e+02; 1.67836063095840649e+00; 1.29548479105366154e+00; 3.73002728712116793e+00; 1.18009992305284626e+02; 1.67511955020605119e+00; 1.29422552286730630e+00; 3.74163936583637202e+00; 
119; 1.19009891196117294e+02; 1.70868823012695725e+00; 1.30713059575787072e+00; 3.71945859264770329e+00; 1.19011086893975246e+02; 1.70453178150168960e+00; 1.30553010776606526e+00; 3.73110295099603384e+00; 
120; 1.20006054136755594e+02; 1.74281693902904911e+00; 1.32014404004153851e+00; 3.64066389706646598e+00; 1.20007297107419788e+02; 1.73867526577099896e+00; 1.31856816964247781e+00; 3.65242294941713919e+00; 
121; 1.21004626650608472e+02; 1.77064863567588771e+00; 1.33064917607159994e+00; 3.64055508185663701e+00; 1.21005853908349650e+02; 1.76613657229781018e+00; 1.32894781840930176e+00; 3.65420100549391647e+00; 
122; 1.22003657691136468e+02; 1.79478771821317862e+00; 1.33969188230306213e+00; 3.59818533552671793e+00; 1.22004966559646718e+02; 1.79041343865144920e+00; 1.33805409903214279e+00; 3.61404357280827693e+00; 
123; 1.22999844334743983e+02; 1.82149306892116836e+00; 1.34962700206001407e+00; 3.56019747960778687e+00; 1.23001116918573175e+02; 1.81665235046284290e+00; 1.34783200101338618e+00; 3.57400238601094911e+00; 
124; 1.24001125147880614e+02; 1.84905865533605174e+00; 1.35980049616783960e+00; 3.52719595993329049e+00; 1.24002391477623192e+02; 1.84381487518226383e+00; 1.35786934423642247e+00; 3.54148408991864860e+00; 
125; 1.25000491676902755e+02; 1.88401724870039766e+00; 1.37259499013883479e+00; 3.57263000115335316e+00; 1.25001721885736444e+02; 1.87815926543616452e+00; 1.37045842714971822e+00; 3.58989360316425588e+00; 
126; 1.26001450139801790e+02; 1.90671517013960212e+00; 1.38083781351546553e+00; 3.59042262893135566e+00; 1.26002753203343786e+02; 1.90080302720671601e+00; 1.37869338399734898e+00; 3.60383702013095331e+00; 
